_id,Site ID,Count Year,Cordon,Screenline,One-Way Street Direction,Road Classification,Cycling Infrastructure,total_volume,Standard Bicycle Type,Cargo Bicycle Type,Bike Share Type,E-Bicycle Type,bikelane_usage,sidewalk_usage,roadway_usage,geometry,cycling_volume
1,300001,2022,Inner Cordon,Bloor,Not One-Way,Collector,None,70,52,0,4,7,0,4,66,POINT (-79.38783926 43.6696164),63
2,300001,2022,Inner Cordon,Bloor,Not One-Way,Collector,None,75,44,0,11,9,0,15,60,POINT (-79.38783926 43.6696164),64
3,300002,2022,Inner Cordon,Bloor,Not One-Way,Major Arterial,Sharrows,619,404,1,66,54,0,26,593,POINT (-79.38926849 43.66918707),525
4,300002,2022,Inner Cordon,Bloor,Not One-Way,Major Arterial,Sharrows,887,471,12,172,107,0,50,837,POINT (-79.38926849 43.66918707),762
5,300003,2022,Inner Cordon,Bloor,Not One-Way,Minor Arterial,None,390,248,5,34,64,0,29,361,POINT (-79.38295829 43.67062816),351
6,300003,2022,Inner Cordon,Bloor,Not One-Way,Minor Arterial,None,406,243,7,43,60,0,24,382,POINT (-79.38295829 43.67062816),353
7,300004,2022,Inner Cordon,Bloor,Not One-Way,Local,None,117,88,0,4,11,0,16,101,POINT (-79.39820065 43.66746171),103
8,300004,2022,Inner Cordon,Bloor,Not One-Way,Local,None,150,115,0,5,19,0,8,142,POINT (-79.39820065 43.66746171),139
9,300005,2022,Inner Cordon,Bloor,Not One-Way,Local,None,273,193,6,37,19,0,30,243,POINT (-79.40139535 43.66687358),255
10,300005,2022,Inner Cordon,Bloor,Not One-Way,Local,None,438,309,10,59,38,0,39,399,POINT (-79.40139535 43.66687358),416
11,300006,2022,Inner Cordon,Bloor,Not One-Way,Major Arterial,Cycle Track,542,353,2,108,30,510,26,6,POINT (-79.39391875 43.66821706),493
12,300006,2022,Inner Cordon,Bloor,Not One-Way,Major Arterial,Cycle Track,483,314,1,97,23,171,37,275,POINT (-79.39391875 43.66821706),435
13,300007,2022,Inner Cordon,Bloor,Not One-Way,Minor Arterial,Bike Lane,1030,814,8,136,22,954,16,60,POINT (-79.39965739 43.6671253),980
14,300007,2022,Inner Cordon,Bloor,Not One-Way,Minor Arterial,Bike Lane,1157,845,6,174,26,1035,28,94,POINT (-79.39965739 43.6671253),1051
15,300008,2022,Inner Cordon,Bloor,Not One-Way,Local,None,64,48,0,2,11,0,2,62,POINT (-79.39078766 43.66892294),61
16,300008,2022,Inner Cordon,Bloor,Not One-Way,Local,None,67,44,3,7,11,0,4,63,POINT (-79.39078766 43.66892294),65
17,300009,2022,Inner Cordon,Bloor,Not One-Way,Major Arterial,Cycle Track,517,285,1,54,90,451,42,24,POINT (-79.38656314 43.66976464),430
