_id,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,geometry
437948,January,Wednesday,2020,0,0.0,YES,NO,NO,Wellington Place (164),-79.38865813860727,43.643979183082834,MULTIPOINT ((-79.388658139 43.643979183))
437980,January,Thursday,2020,10,0.0,NO,NO,YES,Islington (158),-79.56418238008881,43.65491561834416,MULTIPOINT ((-79.56418238 43.6549156180001))
438055,January,Thursday,2020,19,0.0,YES,NO,NO,Etobicoke City Centre (159),-79.53537039309653,43.64180674308104,MULTIPOINT ((-79.5353703929999 43.6418067430001))
438567,January,Monday,2020,16,0.0,YES,NO,NO,Mimico-Queensway (160),-79.49790152930078,43.61507379584067,MULTIPOINT ((-79.497901529 43.615073796))
438585,January,Monday,2020,7,0.0,NO,NO,YES,Weston-Pelham Park (91),-79.46174221948564,43.67189383879312,MULTIPOINT ((-79.461742219 43.6718938390001))
438638,January,Monday,2020,6,0.0,NO,NO,YES,Yonge-Bay Corridor (170),-79.38495204152916,43.6512129903166,MULTIPOINT ((-79.384952042 43.65121299))
439204,January,Thursday,2020,17,0.0,YES,NO,NO,Church-Wellesley (167),-79.37935794927299,43.661875500979264,MULTIPOINT ((-79.3793579489999 43.6618755010001))
439562,January,Saturday,2020,9,0.0,YES,NO,NO,Oakdale-Beverley Heights (154),-79.52377704041903,43.724568242069346,MULTIPOINT ((-79.52377704 43.724568242))
439797,January,Sunday,2020,0,0.0,NO,NO,YES,Wellington Place (164),-79.39492193580202,43.64549678460044,MULTIPOINT ((-79.3949219359999 43.645496785))
439829,January,Sunday,2020,18,0.0,NO,NO,YES,Greenwood-Coxwell (65),-79.3279955128728,43.67091777550866,MULTIPOINT ((-79.327995513 43.6709177760001))
439885,January,Monday,2020,18,0.0,YES,NO,NO,Oakwood Village (107),-79.44310959410677,43.69349697179506,MULTIPOINT ((-79.443109594 43.693496972))
439922,January,Monday,2020,15,0.0,YES,NO,NO,Bay-Cloverhill (169),-79.39413274468478,43.668719909127,MULTIPOINT ((-79.394132745 43.6687199090001))
440137,January,Tuesday,2020,10,0.0,YES,YES,NO,Annex (95),-79.40451823833602,43.66653280989593,MULTIPOINT ((-79.404518238 43.66653281))
440394,January,Wednesday,2020,7,0.0,YES,NO,NO,Victoria Village (43),-79.31374054950295,43.72524104624225,MULTIPOINT ((-79.31374055 43.7252410460001))
440450,January,Wednesday,2020,16,0.0,NO,NO,YES,Stonegate-Queensway (16),-79.50448901035958,43.63085432050701,MULTIPOINT ((-79.50448901 43.6308543210001))
441017,January,Saturday,2020,0,0.0,YES,NO,NO,Maple Leaf (29),-79.48765434554822,43.70637125280654,MULTIPOINT ((-79.4876543459999 43.706371253))
441389,January,Monday,2020,21,0.0,YES,NO,NO,Trinity-Bellwoods (81),-79.42025792657941,43.654902900266215,MULTIPOINT ((-79.420257927 43.6549029))
441685,January,Tuesday,2020,18,0.0,YES,NO,NO,South Parkdale (85),-79.42579232473457,43.63488797755115,MULTIPOINT ((-79.425792325 43.634887978))
442928,January,Monday,2020,17,0.0,YES,NO,NO,Trinity-Bellwoods (81),-79.40707913097222,43.64832868979227,MULTIPOINT ((-79.407079131 43.64832869))
442943,January,Monday,2020,19,0.0,YES,NO,NO,Trinity-Bellwoods (81),-79.41827062724184,43.64982419443549,MULTIPOINT ((-79.418270627 43.6498241940001))
443021,January,Tuesday,2020,21,0.0,YES,YES,NO,Kensington-Chinatown (78),-79.40398193200464,43.6471940876252,MULTIPOINT ((-79.403981932 43.647194088))
443085,January,Tuesday,2020,7,0.0,NO,YES,NO,Playter Estates-Danforth (67),-79.35964828416341,43.678572846015584,MULTIPOINT ((-79.3596482839999 43.6785728460001))
443087,January,Tuesday,2020,9,0.0,YES,NO,NO,Annex (95),-79.39509634519874,43.67100941210766,MULTIPOINT ((-79.395096345 43.671009412))
443652,January,Friday,2020,17,0.0,NO,NO,YES,Wellington Place (164),-79.40371833209247,43.646464986808226,MULTIPOINT ((-79.403718332 43.6464649870001))
443653,January,Friday,2020,16,0.0,NO,YES,NO,High Park-Swansea (87),-79.48292341669804,43.649689951092014,MULTIPOINT ((-79.4829234169999 43.649689951))
443655,January,Friday,2020,15,0.0,YES,NO,NO,Church-Wellesley (167),-79.37935794927299,43.661875500979264,MULTIPOINT ((-79.3793579489999 43.6618755010001))
444046,February,Sunday,2020,19,0.0,NO,NO,YES,Bay-Cloverhill (169),-79.39062024476961,43.663602502706276,MULTIPOINT ((-79.390620245 43.663602503))
444113,February,Sunday,2020,18,0.0,YES,NO,NO,Yonge-Bay Corridor (170),-79.38600144352041,43.65523619433991,MULTIPOINT ((-79.386001444 43.6552361940001))
444304,February,Tuesday,2020,17,0.0,YES,NO,NO,West Humber-Clairville (1),-79.56667255625318,43.71171531007552,MULTIPOINT ((-79.566672556 43.71171531))
444306,February,Tuesday,2020,8,0.0,YES,NO,NO,Regent Park (72),-79.3647731586812,43.66045029955401,MULTIPOINT ((-79.364773159 43.6604503))
444347,February,Tuesday,2020,8,0.0,NO,YES,NO,St Lawrence-East Bayfront-The Islands (166),-79.37302184853932,43.64252058162425,MULTIPOINT ((-79.3730218489999 43.642520582))
445594,February,Monday,2020,13,0.0,YES,YES,NO,Yonge-Bay Corridor (170),-79.38485864498885,43.65849859760236,MULTIPOINT ((-79.384858645 43.6584985980001))
445817,February,Tuesday,2020,9,0.0,NO,NO,YES,St Lawrence-East Bayfront-The Islands (166),-79.38146754290888,43.64290718201088,MULTIPOINT ((-79.381467543 43.642907182))
446042,February,Wednesday,2020,9,0.0,NO,YES,NO,University (79),-79.40974753345093,43.6615215047562,MULTIPOINT ((-79.409747533 43.6615215050001))
446048,February,Wednesday,2020,11,0.0,YES,NO,NO,Downtown Yonge East (168),-79.37493364865705,43.65117909028268,MULTIPOINT ((-79.374933649 43.65117909))
446052,February,Wednesday,2020,8,0.0,YES,NO,NO,Englemount-Lawrence (32),-79.43930276981101,43.711844558338456,MULTIPOINT ((-79.43930277 43.711844558))
